rule,slug,round_end_utc,side,winning_side,hit,entry_ask_proxy,pnl_proxy_1x,support_score,vacuum_score,now_offset_ms,reason
support5_vacuum1,btc-updown-5m-1784320200,2026-07-17T20:30:00,NO,NO,True,0.53,0.47,5,4,896.0,winner_residual_ask_repriced
support5_vacuum2,btc-updown-5m-1784320200,2026-07-17T20:30:00,NO,NO,True,0.53,0.47,5,4,896.0,winner_residual_ask_repriced
support5_vacuum3,btc-updown-5m-1784320200,2026-07-17T20:30:00,NO,NO,True,0.53,0.47,5,4,896.0,winner_residual_ask_repriced
support5_vacuum4,btc-updown-5m-1784320200,2026-07-17T20:30:00,NO,NO,True,0.53,0.47,5,4,896.0,winner_residual_ask_repriced
support5_vacuum0,btc-updown-5m-1784320500,2026-07-17T20:35:00,YES,NO,False,0.51,-0.51,5,0,320.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784320800,2026-07-17T20:40:00,YES,YES,True,0.65,0.35,5,1,331.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784320800,2026-07-17T20:40:00,YES,YES,True,0.65,0.35,5,1,331.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784321100,2026-07-17T20:45:00,YES,NO,False,0.51,-0.51,5,0,303.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784321100,2026-07-17T20:45:00,YES,NO,False,0.53,-0.53,5,1,482.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784321400,2026-07-17T20:50:00,YES,YES,True,0.52,0.48,5,1,330.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784321400,2026-07-17T20:50:00,YES,YES,True,0.52,0.48,5,1,330.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784321700,2026-07-17T20:55:00,NO,NO,True,0.53,0.47,5,1,308.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784321700,2026-07-17T20:55:00,NO,NO,True,0.53,0.47,5,1,308.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784321700,2026-07-17T20:55:00,NO,NO,True,0.53,0.47,5,2,400.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784322000,2026-07-17T21:00:00,YES,YES,True,0.52,0.48,5,1,324.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784322000,2026-07-17T21:00:00,YES,YES,True,0.52,0.48,5,1,324.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784322300,2026-07-17T21:05:00,YES,NO,False,0.53,-0.53,5,1,414.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784322300,2026-07-17T21:05:00,YES,NO,False,0.53,-0.53,5,1,414.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784322600,2026-07-17T21:10:00,NO,NO,True,0.52,0.48,5,1,342.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784322600,2026-07-17T21:10:00,NO,NO,True,0.52,0.48,5,1,342.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784322900,2026-07-17T21:15:00,NO,NO,True,0.52,0.48,5,1,335.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784322900,2026-07-17T21:15:00,NO,NO,True,0.52,0.48,5,1,335.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784323200,2026-07-17T21:20:00,YES,YES,True,0.51,0.49,5,0,486.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784323500,2026-07-17T21:25:00,YES,NO,False,0.51,-0.51,5,0,321.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784323800,2026-07-17T21:30:00,NO,NO,True,0.53,0.47,5,1,571.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784323800,2026-07-17T21:30:00,NO,NO,True,0.53,0.47,5,1,571.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784324100,2026-07-17T21:35:00,YES,NO,False,0.59,-0.59,5,3,327.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784324100,2026-07-17T21:35:00,YES,NO,False,0.59,-0.59,5,3,327.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784324100,2026-07-17T21:35:00,YES,NO,False,0.59,-0.59,5,3,327.0,loser_bid_drop_insufficient
support5_vacuum3,btc-updown-5m-1784324100,2026-07-17T21:35:00,YES,NO,False,0.59,-0.59,5,3,327.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784324400,2026-07-17T21:40:00,YES,YES,True,0.51,0.49,5,0,320.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784324700,2026-07-17T21:45:00,YES,YES,True,0.51,0.49,5,0,332.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784325000,2026-07-17T21:50:00,YES,NO,False,0.51,-0.51,5,0,318.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784325300,2026-07-17T21:55:00,YES,YES,True,0.51,0.49,5,0,330.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784325600,2026-07-17T22:00:00,YES,NO,False,0.51,-0.51,5,0,345.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784325600,2026-07-17T22:00:00,NO,NO,True,0.52,0.48,5,1,648.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784325900,2026-07-17T22:05:00,NO,NO,True,0.64,0.36,5,1,308.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784325900,2026-07-17T22:05:00,NO,NO,True,0.64,0.36,5,1,308.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784326200,2026-07-17T22:10:00,YES,YES,True,0.52,0.48,5,1,310.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784326200,2026-07-17T22:10:00,YES,YES,True,0.52,0.48,5,1,310.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784326200,2026-07-17T22:10:00,NO,YES,False,0.52,-0.52,5,2,859.0,loser_bid_depth_decay_insufficient
support5_vacuum0,btc-updown-5m-1784326500,2026-07-17T22:15:00,NO,NO,True,0.51,0.49,5,0,304.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784326500,2026-07-17T22:15:00,NO,NO,True,0.55,0.44999999999999996,5,1,553.0,loser_bid_depth_decay_insufficient
support5_vacuum2,btc-updown-5m-1784326500,2026-07-17T22:15:00,NO,NO,True,0.56,0.43999999999999995,5,3,774.0,loser_bid_refilled
support5_vacuum3,btc-updown-5m-1784326500,2026-07-17T22:15:00,NO,NO,True,0.56,0.43999999999999995,5,3,774.0,loser_bid_refilled
support5_vacuum0,btc-updown-5m-1784326800,2026-07-17T22:20:00,YES,YES,True,0.54,0.45999999999999996,5,1,322.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784326800,2026-07-17T22:20:00,YES,YES,True,0.54,0.45999999999999996,5,1,322.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784327100,2026-07-17T22:25:00,YES,NO,False,0.52,-0.52,5,1,347.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784327100,2026-07-17T22:25:00,YES,NO,False,0.52,-0.52,5,1,347.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784327400,2026-07-17T22:30:00,YES,NO,False,0.56,-0.56,5,1,341.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784327400,2026-07-17T22:30:00,YES,NO,False,0.56,-0.56,5,1,341.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784327700,2026-07-17T22:35:00,YES,NO,False,0.55,-0.55,5,2,326.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784327700,2026-07-17T22:35:00,YES,NO,False,0.55,-0.55,5,2,326.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784327700,2026-07-17T22:35:00,YES,NO,False,0.55,-0.55,5,2,326.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784328000,2026-07-17T22:40:00,YES,YES,True,0.55,0.44999999999999996,5,2,315.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784328000,2026-07-17T22:40:00,YES,YES,True,0.55,0.44999999999999996,5,2,315.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784328000,2026-07-17T22:40:00,YES,YES,True,0.55,0.44999999999999996,5,2,315.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784328300,2026-07-17T22:45:00,YES,YES,True,0.51,0.49,5,0,325.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784328600,2026-07-17T22:50:00,YES,YES,True,0.51,0.49,5,0,309.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784328900,2026-07-17T22:55:00,YES,NO,False,0.52,-0.52,5,1,329.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784328900,2026-07-17T22:55:00,YES,NO,False,0.52,-0.52,5,1,329.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784329200,2026-07-17T23:00:00,YES,NO,False,0.52,-0.52,5,1,331.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784329200,2026-07-17T23:00:00,YES,NO,False,0.52,-0.52,5,1,331.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784329500,2026-07-17T23:05:00,NO,NO,True,0.54,0.45999999999999996,5,1,325.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784329500,2026-07-17T23:05:00,NO,NO,True,0.54,0.45999999999999996,5,1,325.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784329800,2026-07-17T23:10:00,YES,NO,False,0.59,-0.59,5,1,334.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784329800,2026-07-17T23:10:00,YES,NO,False,0.59,-0.59,5,1,334.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784330100,2026-07-17T23:15:00,YES,YES,True,0.52,0.48,5,1,340.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784330100,2026-07-17T23:15:00,YES,YES,True,0.52,0.48,5,1,340.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784330400,2026-07-17T23:20:00,YES,YES,True,0.51,0.49,5,0,325.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784330700,2026-07-17T23:25:00,YES,YES,True,0.53,0.47,5,1,313.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784330700,2026-07-17T23:25:00,YES,YES,True,0.53,0.47,5,1,313.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784331000,2026-07-17T23:30:00,NO,YES,False,0.53,-0.53,5,1,574.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784331000,2026-07-17T23:30:00,NO,YES,False,0.53,-0.53,5,1,574.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784331300,2026-07-17T23:35:00,NO,NO,True,0.5800000000000001,0.41999999999999993,5,1,305.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784331300,2026-07-17T23:35:00,NO,NO,True,0.5800000000000001,0.41999999999999993,5,1,305.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784331600,2026-07-17T23:40:00,NO,NO,True,0.53,0.47,5,1,336.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784331600,2026-07-17T23:40:00,NO,NO,True,0.53,0.47,5,1,336.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784331900,2026-07-17T23:45:00,NO,NO,True,0.64,0.36,5,1,315.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784331900,2026-07-17T23:45:00,NO,NO,True,0.64,0.36,5,1,315.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784331900,2026-07-17T23:45:00,NO,NO,True,0.64,0.36,5,2,559.0,loser_bid_drop_insufficient
