rule,slug,round_end_utc,side,winning_side,hit,entry_ask_proxy,pnl_proxy_1x,support_score,vacuum_score,now_offset_ms,reason
support5_vacuum0,btc-updown-5m-1784344500,2026-07-18T03:15:00,NO,NO,True,0.62,0.38,5,1,301.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784344500,2026-07-18T03:15:00,NO,NO,True,0.62,0.38,5,1,301.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784344500,2026-07-18T03:15:00,NO,NO,True,0.63,0.37,5,3,774.0,loser_bid_drop_insufficient
support5_vacuum3,btc-updown-5m-1784344500,2026-07-18T03:15:00,NO,NO,True,0.63,0.37,5,3,774.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784344800,2026-07-18T03:20:00,NO,NO,True,0.64,0.36,5,1,437.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784344800,2026-07-18T03:20:00,NO,NO,True,0.64,0.36,5,1,437.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784345100,2026-07-18T03:25:00,NO,NO,True,0.62,0.38,5,1,403.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784345100,2026-07-18T03:25:00,NO,NO,True,0.62,0.38,5,1,403.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784345400,2026-07-18T03:30:00,NO,NO,True,0.69,0.31000000000000005,5,1,319.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784345400,2026-07-18T03:30:00,NO,NO,True,0.69,0.31000000000000005,5,1,319.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784345700,2026-07-18T03:35:00,YES,NO,False,0.51,-0.51,5,0,335.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784346000,2026-07-18T03:40:00,YES,YES,True,0.52,0.48,5,1,393.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784346000,2026-07-18T03:40:00,YES,YES,True,0.52,0.48,5,1,393.0,loser_bid_drop_insufficient
support5_vacuum0,btc-updown-5m-1784346300,2026-07-18T03:45:00,YES,YES,True,0.53,0.47,5,3,319.0,loser_bid_drop_insufficient
support5_vacuum1,btc-updown-5m-1784346300,2026-07-18T03:45:00,YES,YES,True,0.53,0.47,5,3,319.0,loser_bid_drop_insufficient
support5_vacuum2,btc-updown-5m-1784346300,2026-07-18T03:45:00,YES,YES,True,0.53,0.47,5,3,319.0,loser_bid_drop_insufficient
support5_vacuum3,btc-updown-5m-1784346300,2026-07-18T03:45:00,YES,YES,True,0.53,0.47,5,3,319.0,loser_bid_drop_insufficient
